"ID","NTLNLSCOQR","REPDTE"
"18503_19970930",-0.011086785357579445,"19970930"
"18503_19971231",0.12275886776239395,"19971231"
"18503_19980331",-0.0382230449433178,"19980331"
"18503_19980630",0.1990762715511885,"19980630"
"18503_19980930",0.44152194443034254,"19980930"
"18503_19981231",0.11109215036608873,"19981231"
"18503_19990331",0.04013362266702415,"19990331"
"18503_19990630",0.050268442855060144,"19990630"
"18503_19990930",0.02764749018028108,"19990930"
"18503_19991231",0.027228473970378204,"19991231"
"18503_20000331",0.04318048951690102,"20000331"
"18503_20000630",0.09061574924566196,"20000630"
"18503_20000930",0.07060356833752561,"20000930"
"18503_20001231",0.11939362756956962,"20001231"
"18503_20010331",0.10345484496341205,"20010331"
"18503_20010630",0.008073436682098338,"20010630"
"18503_20010930",0.13063373948009302,"20010930"
"18503_20011231",0.49067262420614516,"20011231"
"18503_20020331",0.23209649343166114,"20020331"
"18503_20020630",0.5503836385525729,"20020630"
"18503_20020930",0.06156592471197784,"20020930"
"18503_20021231",0.01315217323037694,"20021231"
"18503_20030331",0.03250117949253294,"20030331"
"18503_20030630",-0.007973645075826492,"20030630"
"18503_20030930",-0.005928503536159038,"20030930"
"18503_20031231",-0.017586439755795796,"20031231"
"18503_20040331",0.0004279792123363582,"20040331"
"18503_20040630",-0.014333614528551687,"20040630"
"18503_20040930",-0.0023351371695630664,"20040930"
"18503_20041231",0.21117158476224324,"20041231"
"18503_20050331",0.15293504131483632,"20050331"
"18503_20050630",-0.010473889493592353,"20050630"
"18503_20050930",-0.057714262972975675,"20050930"
"18503_20051231",0.05293074891023872,"20051231"
"18503_20060331",0.0014491178495091113,"20060331"
"18503_20060630",0.006820269000913049,"20060630"
"18503_20060930",-0.014552298084706457,"20060930"
"18503_20061231",0.0431375754763651,"20061231"
"18503_20070331",0.03853965851897221,"20070331"
"18503_20070630",0.09372079234163985,"20070630"
"18503_20070930",0.05547929674694246,"20070930"
"18503_20071231",0.09669469983178902,"20071231"
"18503_20080331",0.18078030393976835,"20080331"
"18503_20080630",0.09366201665534916,"20080630"
"18503_20080930",0.33437544020268417,"20080930"
"18503_20081231",1.0798995825730577,"20081231"
"18503_20090331",1.3252281134466444,"20090331"
"18503_20090630",1.9686493591070657,"20090630"
"18503_20090930",1.9720590083086809,"20090930"
"18503_20091231",2.34402426669338,"20091231"
"18503_20100331",2.1532424513198842,"20100331"
"18503_20100630",0.7761538855216886,"20100630"
"18503_20100930",0.6365755620688123,"20100930"
"18503_20101231",0.8281702467189848,"20101231"
"18503_20110331",0.3877043587795337,"20110331"
"18503_20110630",0.824295676529964,"20110630"
"18503_20110930",1.122485497070655,"20110930"
"18503_20111231",0.17543933604736975,"20111231"
"18503_20120331",0.3070293087719956,"20120331"
"18503_20120630",-0.09662936695124726,"20120630"
"18503_20120930",0.29118833257956195,"20120930"
"18503_20121231",0.051247530034958196,"20121231"
"18503_20130331",0.10148060025888313,"20130331"
"18503_20130630",-0.03564534474641655,"20130630"
"18503_20130930",-0.13423265472930807,"20130930"
"18503_20131231",0.30393582197698404,"20131231"
"18503_20140331",0.1574410065869772,"20140331"
"18503_20140630",-0.12756848050396913,"20140630"
"18503_20140930",-0.1807309940546442,"20140930"
"18503_20141231",0.20039810828763926,"20141231"
"18503_20150331",0.011332286608934773,"20150331"
"18503_20150630",0.01689921319350525,"20150630"
"18503_20150930",0.06865770766517286,"20150930"
"18503_20151231",0.2503285002383466,"20151231"
"18503_20160331",-0.1842693506551566,"20160331"
"18503_20160630",0.19361928602888276,"20160630"
"18503_20160930",0.14565268938767653,"20160930"
"18503_20161231",-0.028733771376173844,"20161231"
"18503_20170331",0.025719494669115175,"20170331"
"18503_20170630",-0.007438381430656181,"20170630"
"18503_20170930",-0.1584570572725389,"20170930"
"18503_20171231",-0.04619449670003855,"20171231"
"18503_20180331",-0.0458616294929152,"20180331"
"18503_20180630",0.0046194563636476,"20180630"
"18503_20180930",-0.0750105314921126,"20180930"
"18503_20181231",0.02568364715740483,"20181231"
"18503_20190331",-0.00387509173437912,"20190331"
"18503_20190630",-0.0022152994754615057,"20190630"
"18503_20190930",-0.1183123664780128,"20190930"
"18503_20191231",-0.05141276466731005,"20191231"
"18503_20200331",-0.0010789565246303893,"20200331"
"18503_20200630",0.0766503437132185,"20200630"
"18503_20200930",0.06381391277203034,"20200930"
"18503_20201231",0.15972620168746568,"20201231"
"18503_20210331",0.16230531286294708,"20210331"
"18503_20210630",0.15057482145637244,"20210630"
"18503_20210930",0.04719115262884304,"20210930"
"18503_20211231",0.005658335692405799,"20211231"
"18503_20220331",-0.005560690672296131,"20220331"
"18503_20220630",-0.004145595796517994,"20220630"
"18503_20220930",0.010339951428217394,"20220930"
"18503_20221231",0.046307444638431935,"20221231"
"18503_20230331",0.08840500431115458,"20230331"
"18503_20230630",0.03516716598622465,"20230630"
"18503_20230930",0.11540478936858471,"20230930"
"18503_20231231",0.0720642634333299,"20231231"
"18503_20240331",0.019654515476359092,"20240331"
"18503_20240630",0.13726066609016957,"20240630"
"18503_20240930",0.07235509930545861,"20240930"
"18503_20241231",0.28227481824713224,"20241231"
"18503_20250331",0.03423224414339607,"20250331"
"18503_20250630",0.21732176427573918,"20250630"
